Generated by myTrafficdata,,,
SDR: 1145FSarbia,,8 maj 26 13:03:42,
Data i czas,Kierunek,Długość,Szybkość
8 maj 26 8:49:28,1,7.2 m,47 km/h
8 maj 26 8:49:36,2,4.5 m,63 km/h
8 maj 26 8:56:47,1,6.8 m,52 km/h
8 maj 26 9:00:59,1,4.9 m,48 km/h
8 maj 26 9:01:09,2,4.4 m,41 km/h
8 maj 26 9:02:58,1,5.2 m,60 km/h
8 maj 26 9:05:14,2,5.0 m,47 km/h
8 maj 26 9:05:36,2,4.9 m,49 km/h
8 maj 26 9:10:46,1,4.7 m,41 km/h
8 maj 26 9:11:03,1,4.7 m,55 km/h
8 maj 26 9:11:12,1,12.9 m,44 km/h
8 maj 26 9:11:27,1,4.6 m,45 km/h
8 maj 26 9:13:57,2,5.2 m,48 km/h
8 maj 26 9:16:14,2,11.3 m,28 km/h
8 maj 26 9:19:10,2,4.5 m,40 km/h
8 maj 26 9:19:26,1,4.4 m,52 km/h
8 maj 26 9:21:06,2,5.9 m,49 km/h
8 maj 26 9:21:14,1,4.6 m,62 km/h
8 maj 26 9:21:32,1,4.3 m,67 km/h
8 maj 26 9:24:06,2,4.2 m,47 km/h
8 maj 26 9:24:37,1,5.0 m,42 km/h
8 maj 26 9:24:40,1,4.9 m,42 km/h
8 maj 26 9:25:09,1,4.7 m,43 km/h
8 maj 26 9:26:31,1,5.2 m,52 km/h
8 maj 26 9:30:05,1,6.6 m,44 km/h
8 maj 26 9:30:13,1,6.1 m,39 km/h
8 maj 26 9:33:46,1,4.7 m,41 km/h
8 maj 26 9:36:18,1,4.7 m,45 km/h
8 maj 26 9:41:35,2,7.4 m,83 km/h
8 maj 26 9:45:36,1,4.9 m,46 km/h
8 maj 26 9:45:54,1,2.1 m,41 km/h
8 maj 26 9:46:40,1,4.0 m,29 km/h
8 maj 26 9:58:01,1,14.1 m,20 km/h
8 maj 26 9:58:27,1,5.0 m,59 km/h
8 maj 26 9:59:19,2,4.2 m,55 km/h
8 maj 26 10:00:03,2,5.8 m,62 km/h
8 maj 26 10:02:31,2,10.9 m,52 km/h
8 maj 26 10:02:34,2,6.1 m,54 km/h
8 maj 26 10:02:58,2,4.4 m,61 km/h
8 maj 26 10:04:18,1,15.8 m,19 km/h
8 maj 26 10:05:26,2,5.2 m,56 km/h
8 maj 26 10:10:45,2,4.3 m,43 km/h
8 maj 26 10:11:06,2,5.7 m,64 km/h
8 maj 26 10:12:19,1,5.0 m,58 km/h
8 maj 26 10:12:50,2,3.5 m,49 km/h
8 maj 26 10:14:08,2,4.8 m,48 km/h
8 maj 26 10:15:15,1,3.6 m,25 km/h
8 maj 26 10:15:25,1,3.0 m,48 km/h
8 maj 26 10:16:02,2,4.3 m,50 km/h
8 maj 26 10:21:51,2,1.4 m,13 km/h
8 maj 26 10:23:36,2,3.5 m,50 km/h
8 maj 26 10:24:04,2,4.6 m,42 km/h
8 maj 26 10:26:59,2,7.1 m,73 km/h
8 maj 26 10:28:35,1,5.5 m,50 km/h
8 maj 26 10:30:50,2,6.7 m,52 km/h
8 maj 26 10:32:40,1,5.0 m,43 km/h
8 maj 26 10:38:13,1,7.2 m,79 km/h
8 maj 26 10:39:18,1,4.8 m,48 km/h
8 maj 26 10:39:43,2,3.7 m,51 km/h
8 maj 26 10:41:42,1,6.8 m,52 km/h
8 maj 26 10:43:49,1,10.7 m,67 km/h
8 maj 26 10:46:45,1,7.8 m,56 km/h
8 maj 26 10:51:33,1,5.0 m,59 km/h
8 maj 26 10:52:07,1,7.4 m,55 km/h
8 maj 26 10:56:13,2,4.7 m,62 km/h
8 maj 26 11:00:57,1,5.8 m,39 km/h
8 maj 26 11:03:02,2,4.8 m,48 km/h
8 maj 26 11:03:05,2,4.4 m,45 km/h
8 maj 26 11:04:53,2,4.5 m,76 km/h
8 maj 26 11:05:20,2,6.9 m,46 km/h
8 maj 26 11:06:55,1,5.0 m,53 km/h
8 maj 26 11:07:49,2,5.2 m,30 km/h
8 maj 26 11:07:50,2,5.3 m,49 km/h
8 maj 26 11:12:41,2,5.4 m,50 km/h
8 maj 26 11:12:48,1,5.1 m,46 km/h
8 maj 26 11:16:45,1,1.2 m,25 km/h
8 maj 26 11:20:40,1,4.0 m,37 km/h
8 maj 26 11:21:19,2,6.4 m,55 km/h
8 maj 26 11:27:10,1,4.5 m,53 km/h
8 maj 26 11:29:34,1,4.8 m,47 km/h
8 maj 26 11:33:02,2,6.5 m,73 km/h
8 maj 26 11:34:25,2,3.9 m,59 km/h
8 maj 26 11:34:54,2,5.3 m,75 km/h
8 maj 26 11:34:56,2,4.7 m,77 km/h
8 maj 26 11:35:44,1,5.3 m,42 km/h
8 maj 26 11:35:45,1,0.9 m,44 km/h
8 maj 26 11:36:01,2,4.3 m,51 km/h
8 maj 26 11:38:17,2,4.4 m,35 km/h
8 maj 26 11:39:01,1,5.0 m,21 km/h
8 maj 26 11:39:38,2,4.2 m,33 km/h
8 maj 26 11:41:18,2,5.6 m,48 km/h
8 maj 26 11:41:39,2,10.5 m,43 km/h
8 maj 26 11:42:05,1,4.4 m,74 km/h
8 maj 26 11:43:17,1,4.1 m,45 km/h
8 maj 26 11:43:36,2,4.3 m,41 km/h
8 maj 26 11:44:58,1,6.4 m,64 km/h
8 maj 26 11:45:28,2,4.5 m,62 km/h
8 maj 26 11:45:31,1,5.9 m,62 km/h
8 maj 26 11:50:00,2,5.1 m,45 km/h
8 maj 26 11:51:14,1,4.3 m,32 km/h
8 maj 26 11:52:57,2,4.4 m,53 km/h
,,,
Powered by DataCollect,,,
