Generated by myTrafficdata,,,
SDR: 1145FSarbia,,8 maj 26 13:03:42,
Data i czas,Kierunek,Długość,Szybkość
7 maj 26 14:50:32,1,6.1 m,60 km/h
7 maj 26 14:50:52,1,14.5 m,52 km/h
7 maj 26 14:55:27,2,13.2 m,44 km/h
7 maj 26 14:56:32,2,6.5 m,48 km/h
7 maj 26 14:58:56,1,6.2 m,63 km/h
7 maj 26 14:59:10,1,4.7 m,43 km/h
7 maj 26 15:00:28,2,4.6 m,55 km/h
7 maj 26 15:00:31,2,4.1 m,52 km/h
7 maj 26 15:02:43,1,7.6 m,52 km/h
7 maj 26 15:03:01,2,4.7 m,58 km/h
7 maj 26 15:03:48,2,3.2 m,50 km/h
7 maj 26 15:06:37,2,4.8 m,56 km/h
7 maj 26 15:06:38,1,3.9 m,60 km/h
7 maj 26 15:08:04,1,4.1 m,36 km/h
7 maj 26 15:08:37,1,5.9 m,32 km/h
7 maj 26 15:10:55,2,4.0 m,65 km/h
7 maj 26 15:11:30,1,4.1 m,31 km/h
7 maj 26 15:12:55,2,3.7 m,54 km/h
7 maj 26 15:13:10,1,4.3 m,26 km/h
7 maj 26 15:13:13,2,3.4 m,61 km/h
7 maj 26 15:13:55,2,6.8 m,37 km/h
7 maj 26 15:15:13,2,4.7 m,47 km/h
7 maj 26 15:17:19,1,14.5 m,39 km/h
7 maj 26 15:17:35,2,3.9 m,61 km/h
7 maj 26 15:18:25,2,4.0 m,39 km/h
7 maj 26 15:18:27,2,4.1 m,42 km/h
7 maj 26 15:19:03,2,2.9 m,48 km/h
7 maj 26 15:19:45,2,4.0 m,46 km/h
7 maj 26 15:19:47,2,4.2 m,43 km/h
7 maj 26 15:19:56,2,3.9 m,54 km/h
7 maj 26 15:20:16,2,4.4 m,61 km/h
7 maj 26 15:21:20,1,4.3 m,36 km/h
7 maj 26 15:21:45,1,4.6 m,49 km/h
7 maj 26 15:22:40,1,12.7 m,63 km/h
7 maj 26 15:23:13,1,4.5 m,52 km/h
7 maj 26 15:23:53,1,6.2 m,48 km/h
7 maj 26 15:24:53,2,3.5 m,55 km/h
7 maj 26 15:26:40,2,4.1 m,79 km/h
7 maj 26 15:29:32,2,4.0 m,44 km/h
7 maj 26 15:31:48,1,4.6 m,49 km/h
7 maj 26 15:32:12,1,4.9 m,60 km/h
7 maj 26 15:32:21,2,4.7 m,66 km/h
7 maj 26 15:33:24,1,7.6 m,37 km/h
7 maj 26 15:33:30,2,3.9 m,56 km/h
7 maj 26 15:34:44,2,3.7 m,73 km/h
7 maj 26 15:35:42,2,4.7 m,47 km/h
7 maj 26 15:35:45,2,4.1 m,47 km/h
7 maj 26 15:36:19,2,4.9 m,39 km/h
7 maj 26 15:36:36,1,4.4 m,42 km/h
7 maj 26 15:36:37,2,4.2 m,42 km/h
7 maj 26 15:38:00,2,4.8 m,62 km/h
7 maj 26 15:38:24,1,4.2 m,50 km/h
7 maj 26 15:39:08,2,4.0 m,69 km/h
7 maj 26 15:40:41,2,3.5 m,48 km/h
7 maj 26 15:40:43,1,4.1 m,61 km/h
7 maj 26 15:40:44,2,4.3 m,53 km/h
7 maj 26 15:42:47,2,5.1 m,57 km/h
7 maj 26 15:42:48,2,6.7 m,64 km/h
7 maj 26 15:43:57,2,4.9 m,60 km/h
7 maj 26 15:44:03,1,4.8 m,60 km/h
7 maj 26 15:45:34,2,4.7 m,54 km/h
7 maj 26 15:48:54,1,4.8 m,45 km/h
7 maj 26 15:49:56,1,4.0 m,38 km/h
7 maj 26 15:52:35,1,3.9 m,37 km/h
7 maj 26 15:53:47,1,5.9 m,50 km/h
7 maj 26 15:55:18,2,3.9 m,46 km/h
7 maj 26 15:56:05,1,4.7 m,42 km/h
7 maj 26 16:00:50,2,3.9 m,47 km/h
7 maj 26 16:01:15,1,4.0 m,47 km/h
7 maj 26 16:03:01,1,5.0 m,48 km/h
7 maj 26 16:03:36,1,13.0 m,47 km/h
7 maj 26 16:04:01,1,2.9 m,42 km/h
7 maj 26 16:04:02,1,2.7 m,38 km/h
7 maj 26 16:04:11,2,4.7 m,50 km/h
7 maj 26 16:04:15,2,4.3 m,43 km/h
7 maj 26 16:10:00,2,4.7 m,37 km/h
7 maj 26 16:13:20,2,6.0 m,42 km/h
7 maj 26 16:13:32,2,4.1 m,50 km/h
7 maj 26 16:14:56,1,4.3 m,48 km/h
7 maj 26 16:16:15,2,11.7 m,53 km/h
7 maj 26 16:20:29,1,5.0 m,42 km/h
7 maj 26 16:21:14,1,4.7 m,45 km/h
7 maj 26 16:25:07,1,5.1 m,48 km/h
7 maj 26 16:26:14,2,5.9 m,58 km/h
7 maj 26 16:27:14,2,3.5 m,45 km/h
7 maj 26 16:27:29,2,4.7 m,51 km/h
7 maj 26 16:30:37,1,5.0 m,51 km/h
7 maj 26 16:33:20,2,4.3 m,41 km/h
7 maj 26 16:33:31,2,3.6 m,40 km/h
7 maj 26 16:33:34,2,3.8 m,44 km/h
7 maj 26 16:33:40,2,3.9 m,53 km/h
7 maj 26 16:38:11,2,3.9 m,74 km/h
7 maj 26 16:38:25,2,4.3 m,57 km/h
7 maj 26 16:39:30,1,5.3 m,59 km/h
7 maj 26 16:39:34,2,3.5 m,44 km/h
7 maj 26 16:39:38,2,4.6 m,45 km/h
7 maj 26 16:40:28,2,4.8 m,47 km/h
7 maj 26 16:40:57,1,4.6 m,50 km/h
7 maj 26 16:42:35,1,8.5 m,53 km/h
7 maj 26 16:42:54,1,8.7 m,57 km/h
7 maj 26 16:46:22,2,4.7 m,70 km/h
7 maj 26 16:49:22,1,4.5 m,29 km/h
7 maj 26 16:50:11,2,5.1 m,46 km/h
7 maj 26 16:51:17,2,4.1 m,50 km/h
7 maj 26 16:53:02,2,4.3 m,56 km/h
7 maj 26 16:53:54,2,4.6 m,38 km/h
