kilometraż,rodzaj zdarzenia,strona,rodzaj,liczba znaków,1 znak,2 znak,3 znak,4 znak,Stan,odl.osi,dwustronność znaku,rozmiar,mocowanie,odc. drogi,stan,Data wprowadzenia
18+352,ZNAKI PIONOWE,prawa,odblaskowe,,E-2a,,,,,4.5,nie,średnie,słupek,tak,,
18+339,ZNAKI PIONOWE,prawa,odblaskowe,2szt,A-7,T-6c,,,,4.5,nie,średnie,słupek,tak,,
18+289,ZNAKI PIONOWE,lewa,,,F-5,B-18,,,,-4.5,nie,,słupek,tak,istniejący,2020-09-16
18+188,ZNAKI PIONOWE,prawa,odblaskowe,2szt,A-7,T-1,,,,4.5,nie,średnie,słupek,tak,,2020-09-16
16+694,ZNAKI PIONOWE,prawa,,,U-11a,,,,,4.5,nie,,słupek,tak,istniejący,
16+694,ZNAKI PIONOWE,lewa,,,U-11a,,,,,-4.5,nie,,słupek,tak,istniejący,
16+148,ZNAKI PIONOWE,lewa,,,A-12c,,,,,-4.5,nie,,słupek,tak,istniejący,2020-09-16
15+447,ZNAKI PIONOWE,lewa,odblaskowe,2szt,A-4,T-4,,,,-3.2,nie,średnie,słupek,tak,,
15+424,ZNAKI PIONOWE,lewa,odblaskowe,2szt,E-17a,E-18a,,,,-3.2,nie,średnie,słupek,tak,,
15+394,ZNAKI PIONOWE,lewa,odblaskowe,2szt,D-42,B-33,,,,-3.2,nie,średnie,słupek,tak,,
15+394,ZNAKI PIONOWE,prawa,odblaskowe,,D-43,,,,,3.2,tak,średnie,słupek,tak,,
15+271,ZNAKI PIONOWE,lewa,odblaskowe,,A-17,,,,,-3,tak,średnie,słupek,tak,,
15+221,ZNAKI PIONOWE,lewa,,,A-18a,,,,,-3,nie,,słupek,tak,istniejący,2020-09-16
15+084,ZNAKI PIONOWE,lewa,,2szt,A-30,T-16,,,,-4.25,nie,,słupek,tak,istniejący,2020-09-16
15+051,ZNAKI PIONOWE,prawa,odblaskowe,,A-12b,,,,,4.2,tak,średnie,słupek,tak,,
15+047,ZNAKI PIONOWE,lewa,,,U-11a,,,,,-5.25,nie,,słupek,tak,istniejący,
15+047,ZNAKI PIONOWE,prawa,,,U-11a,,,,,5.25,nie,,słupek,tak,istniejący,
15+042,ZNAKI PIONOWE,prawa,,,A-7,,,,,9.25,nie,,słupek,tak,istniejący,
15+038,ZNAKI PIONOWE,lewa,odblaskowe,,D-15,,,,,-5.2,nie,średnie,słupek,tak,,2020-09-16
14+992,ZNAKI PIONOWE,prawa,odblaskowe,,U-3d,,,,,5.2,nie,średnie,słupek,tak,,2020-09-16
14+990,ZNAKI PIONOWE,prawa,odblaskowe,,U-3c,,,,,4.8,nie,średnie,słupek,tak,,
14+964,ZNAKI PIONOWE,prawa,,,A-30,T-16,,,,4.75,nie,,słupek,tak,istniejący,2020-09-16
14+946,ZNAKI PIONOWE,lewa,odblaskowe,,U-3c,,,,,-4.75,nie,średnie,słupek,tak,,2020-09-16
14+943,ZNAKI PIONOWE,lewa,,,A-7,T-6ckos,,,,-17,nie,,słupek,tak,istniejący,2020-09-16
14+942,ZNAKI PIONOWE,lewa,odblaskowe,,U-3d,,,,,-3,nie,średnie,słupek,tak,,
14+868,ZNAKI PIONOWE,prawa,odblaskowe,2szt,D-1,T-6ap19,,,,3,nie,średnie,słupek,tak,,
14+821,ZNAKI PIONOWE,prawa,odblaskowe,2szt,A-3,T-4,,,,3,nie,średnie,słupek,tak,,
14+667,ZNAKI PIONOWE,lewa,,,A-15,,,,,-3,nie,,słupek,tak,istniejący,
14+592,ZNAKI PIONOWE,lewa,,,U-11a,,,,,-3.75,nie,,słupek,tak,istniejący,
14+592,ZNAKI PIONOWE,prawa,,,U-11a,,,,,3.75,nie,,słupek,tak,istniejący,
14+587,ZNAKI PIONOWE,lewa,odblaskowe,,A-4,,,,,-3.8,tak,średnie,słupek,tak,,
14+509,ZNAKI PIONOWE,lewa,odblaskowe,,U-3c,,,,,-3.8,nie,średnie,słupek,tak,,2020-09-16
14+501,ZNAKI PIONOWE,lewa,odblaskowe,,U-3d,,,,,-3.8,nie,średnie,słupek,tak,,
14+426,ZNAKI PIONOWE,lewa,odblaskowe,,D-15,,,,,-3,nie,średnie,słupek,tak,,2020-09-16
14+386,ZNAKI PIONOWE,prawa,,,A-15,,,,,3,nie,,słupek,tak,istniejący,
14+320,ZNAKI PIONOWE,prawa,odblaskowe,,A-17,,,,,3,tak,średnie,słupek,tak,,
14+278,ZNAKI PIONOWE,prawa,,,A-18a,,,,,3,nie,,słupek,tak,istniejący,2020-09-16
14+137,ZNAKI PIONOWE,prawa,odblaskowe,,A-4,,,,,3,tak,średnie,słupek,tak,,
14+116,ZNAKI PIONOWE,lewa,odblaskowe,,D-43,,,,,-3,tak,średnie,słupek,tak,,
14+116,ZNAKI PIONOWE,prawa,odblaskowe,2szt,D-42,B-33,,,,3,nie,średnie,słupek,tak,,
14+085,ZNAKI PIONOWE,prawa,odblaskowe,2szt,E-17a,E-18a,,,,3,nie,średnie,słupek,tak,,
13+894,ZNAKI PIONOWE,prawa,,,B-34,,,,,3.5,nie,,słupek,tak,istniejący,2020-09-16
13+894,ZNAKI PIONOWE,lewa,odblaskowe,2szt,A-1,B-33,,,,-3.5,nie,średnie,słupek,tak,,
13+648,ZNAKI PIONOWE,prawa,odblaskowe,,U-3c,,,,,4.5,nie,średnie,słupek,tak,,2020-09-16
13+498,ZNAKI PIONOWE,prawa,odblaskowe,,U-3d,,,,,4.5,nie,średnie,słupek,tak,,2020-09-16
13+285,ZNAKI PIONOWE,prawa,odblaskowe,2szt,A-2,B-33,,,,4.5,nie,średnie,słupek,tak,,
13+285,ZNAKI PIONOWE,lewa,,,B-34,,,,,-4.5,nie,,słupek,tak,istniejący,2020-09-16
12+144,ZNAKI PIONOWE,lewa,odblaskowe,,D-15,,,,,-4.5,nie,średnie,słupek,tak,,2020-09-16
12+102,ZNAKI PIONOWE,lewa,,,A-7,,,,,-18.5,nie,,słupek,tak,istniejący,2020-09-16
12+089,ZNAKI PIONOWE,lewa,odblaskowe,,E-4,,,,,-4.5,tak,średnie,słupek,tak,,
11+505,ZNAKI PIONOWE,prawa,,2szt,D-18,T-30b,,,,9.5,nie,,słupek,tak,istniejący,
11+482,ZNAKI PIONOWE,prawa,,2szt,D-18a,T-29,,,,9.5,nie,,słupek,tak,istniejący,
11+475,ZNAKI PIONOWE,prawa,,2szt,D-18,T-30b,,,,9.5,nie,,słupek,tak,istniejący,
10+749,ZNAKI PIONOWE,lewa,,,U-11a,,,,,-4.5,nie,,słupek,tak,istniejący,
10+749,ZNAKI PIONOWE,prawa,,,U-11a,,,,,4.5,nie,,słupek,tak,istniejący,
10+306,ZNAKI PIONOWE,lewa,odblaskowe,2szt,E-17a,E-18a,,,,-3.2,nie,średnie,słupek,tak,,
10+276,ZNAKI PIONOWE,lewa,odblaskowe,2szt,D-42,B-33,,,,-3,nie,średnie,słupek,tak,,
10+276,ZNAKI PIONOWE,prawa,odblaskowe,,D-43,,,,,3,tak,średnie,słupek,tak,,
9+927,ZNAKI PIONOWE,lewa,odblaskowe,2szt,D-1,T-6a,,,,-3.5,nie,średnie,słupek,tak,,
9+886,ZNAKI PIONOWE,lewa,odblaskowe,,E-4,,,,,-3,nie,średnie,słupek,tak,,
9+869,ZNAKI PIONOWE,lewa,,,A-7,,,,,-16.75,nie,,słupek,tak,istniejący,2020-09-16
9+775,ZNAKI PIONOWE,prawa,odblaskowe,2szt,D-1,T-6ap,,,,3,nie,średnie,słupek,tak,,
9+707,ZNAKI PIONOWE,lewa,odblaskowe,,A-17,,,,,-3,tak,średnie,słupek,tak,,
9+592,ZNAKI PIONOWE,lewa,odblaskowe,2szt,D-6T,,,,,-3,nie,średnie,słupek,tak,,
9+586,ZNAKI PIONOWE,prawa,odblaskowe,2szt,D-6T,,,,,3,nie,średnie,słupek,tak,,
9+480,ZNAKI PIONOWE,lewa,odblaskowe,,D-15,,,,,-3,nie,średnie,słupek,tak,,
9+477,ZNAKI PIONOWE,prawa,odblaskowe,,A-17,,,,,3,tak,średnie,słupek,tak,,
9+305,ZNAKI PIONOWE,lewa,,2szt,A-30,T-16,,,,-2.75,nie,,słupek,tak,istniejący,2020-09-16
9+205,ZNAKI PIONOWE,prawa,,,A-30,T-16,,,,2.75,nie,,słupek,tak,istniejący,2020-09-16
8+429,ZNAKI PIONOWE,lewa,odblaskowe,2szt,A-4,T-4,,,,-3,nie,średnie,słupek,tak,,
8+382,ZNAKI PIONOWE,lewa,odblaskowe,,D-15,,,,,-3,nie,średnie,słupek,tak,,
8+204,ZNAKI PIONOWE,lewa,odblaskowe,,D-43,,,,,-3,tak,średnie,słupek,tak,,
8+204,ZNAKI PIONOWE,prawa,odblaskowe,2szt,D-42,B-33,,,,3,tak,średnie,słupek,tak,,
8+185,ZNAKI PIONOWE,prawa,odblaskowe,2szt,E-17a,E-18a,,,,3,nie,średnie,słupek,tak,,
7+493,ZNAKI PIONOWE,prawa,odblaskowe,2szt,A-4,T-4,,,,3,nie,średnie,słupek,tak,,
6+299,ZNAKI PIONOWE,lewa,odblaskowe,2szt,E-17a,E-18a,,,,-3,nie,średnie,słupek,tak,,
6+284,ZNAKI PIONOWE,lewa,odblaskowe,2szt,A-4,T-4,,,,-3,nie,średnie,słupek,tak,,
6+274,ZNAKI PIONOWE,lewa,odblaskowe,,D-42,,,,,-3,tak,średnie,słupek,tak,,
6+274,ZNAKI PIONOWE,prawa,odblaskowe,,D-43,,,,,3,tak,średnie,słupek,tak,,
6+186,ZNAKI PIONOWE,lewa,odblaskowe,,B-33,,,,,-3,nie,średnie,słupek,tak,,
6+071,ZNAKI PIONOWE,lewa,odblaskowe,2szt,U-9a,U-9b,,,,-3.5,nie,średnie,słupek,tak,,
6+071,ZNAKI PIONOWE,prawa,odblaskowe,,U-3d,,,,,3.5,nie,średnie,słupek,tak,,
6+071,ZNAKI PIONOWE,prawa,odblaskowe,,U-3c,,,,,3.5,nie,średnie,słupek,tak,,2020-09-16
