kilometraż,rodzaj zdarzenia,strona,rodzaj,liczba znaków,1 znak,2 znak,3 znak,4 znak,Stan,odl.osi,dwustronność znaku,rozmiar,mocowanie,odc. drogi,stan,Data wprowadzenia
6+024,ZNAKI PIONOWE,prawa,,,A-7,,,,,17.5,nie,,słupek,tak,istniejący,2020-09-16
6+021,ZNAKI PIONOWE,lewa,odblaskowe,,E-4,,,,,-3.5,nie,średnie,słupek,tak,,
6+019,ZNAKI PIONOWE,lewa,odblaskowe,,E-4,,,,,-3.5,nie,średnie,słupek,tak,,
6+018,ZNAKI PIONOWE,,,,E-4,,,,,2,tak,średnie,słupek,tak,,
5+990,ZNAKI PIONOWE,lewa,odblaskowe,,D-15,,,,,-3.5,nie,średnie,słupek,tak,,
5+990,ZNAKI PIONOWE,prawa,odblaskowe,,B-33,,,,,3.5,nie,średnie,słupek,tak,,
5+852,ZNAKI PIONOWE,lewa,,2szt,D-1,T-6ap10,,,,-3.5,nie,,słupek,tak,istniejący,2020-09-16
5+842,ZNAKI PIONOWE,lewa,,,U-1a,,,,,-4,nie,,słupek,tak,istniejący,2020-09-16
5+838,ZNAKI PIONOWE,lewa,,,U-1a,,,,,-4,nie,,słupek,tak,istniejący,2020-09-16
5+792,ZNAKI PIONOWE,prawa,,,A-7,,,,,18,nie,,słupek,tak,istniejący,2020-09-16
5+743,ZNAKI PIONOWE,prawa,,,D-1,T-6a13,,,,3.25,nie,,słupek,tak,istniejący,2020-09-16
5+703,ZNAKI PIONOWE,prawa,odblaskowe,2szt,A-4,T-4,,,,3.2,nie,średnie,słupek,tak,,
5+663,ZNAKI PIONOWE,lewa,odblaskowe,,D-43,,,,,-3.2,nie,średnie,słupek,tak,,
5+663,ZNAKI PIONOWE,prawa,odblaskowe,,D-42,,,,,3.2,nie,średnie,słupek,tak,,
5+641,ZNAKI PIONOWE,prawa,odblaskowe,2szt,E-17a,E-18a,,,,3.2,nie,średnie,słupek,tak,,
5+640,ZNAKI PIONOWE,lewa,,2szt,A-11,B-33,,,,-3,nie,,słupek,tak,istniejący,2020-09-16
5+178,ZNAKI PIONOWE,lewa,,,B-33,,,,,-3,nie,,słupek,tak,istniejący,2020-09-16
5+159,ZNAKI PIONOWE,lewa,,,U-1a,,,,,-3,nie,,słupek,tak,istniejący,
5+158,ZNAKI PIONOWE,lewa,odblaskowe,2szt,B-18,T-Inf,,,,-3,nie,średnie,słupek,tak,,
5+144,ZNAKI PIONOWE,prawa,odblaskowe,2szt,B-18,T-Inf,,,,3,nie,średnie,słupek,tak,,
5+124,ZNAKI PIONOWE,prawa,,,B-33,,,,,3,nie,,słupek,tak,istniejący,2020-09-16
4+111,ZNAKI PIONOWE,prawa,,2szt,A-11,B-33,,,,3,nie,,słupek,tak,istniejący,2020-09-16
